anio_academico,turno_examen,turno_examen_periodo,turno_examen_nombre,turno_examen_fecha_inicio,turno_examen_fecha_fin,turno_examen_fecha_publicacion_mesas,turno_examen_fecha_inactivacion,llamado,llamado_periodo,llamado_nombre,llamado_fecha_inicio,llamado_fecha_fin
2020,20,89,"TURNO MAYO 2020",2020-05-11,2020-05-16,2020-05-04,2020-05-31,33,90,"Llamado unico TURNO MAYO 2020",2020-05-11,2020-05-16
2020,21,91,"TURNO JULIO-AGOSTO",2020-07-20,2020-08-08,2020-07-13,2020-08-31,35,93,"Segundo llamado  TURNO JULIO-AGOSTO",2020-08-03,2020-08-08
2020,21,91,"TURNO JULIO-AGOSTO",2020-07-20,2020-08-08,2020-07-13,2020-08-31,34,92,"Primer llamado TURNO JULIO-AGOSTO",2020-07-20,2020-07-25
2020,22,95,"CFG - Turno JULIO/AGOSTO",2020-07-27,2020-08-10,2020-07-20,2020-08-10,38,99,"CFG - Turno AGOSTO",2020-08-03,2020-08-10
2020,22,95,"CFG - Turno JULIO/AGOSTO",2020-07-27,2020-08-10,2020-07-20,2020-08-10,37,96,"CFG - Turno JULIO",2020-07-27,2020-07-31
2020,23,100,"IC - Turno JULIO/AGOSTO",2020-07-27,2020-08-07,2020-07-20,2020-08-07,40,102,"2do llamado IC - Turno JULIO/AGOSTO",2020-08-03,2020-08-07
2020,23,100,"IC - Turno JULIO/AGOSTO",2020-07-27,2020-08-07,2020-07-20,2020-08-07,39,101,"1er llamado IC - Turno JULIO/AGOSTO",2020-07-27,2020-07-31
2020,25,107,"TURNO SEPTIEMBRE 2020",2020-09-14,2020-09-19,2020-09-07,2020-09-30,41,108,"Llamado UNICO TURNO SEPTIEMBRE 2020",2020-09-14,2020-09-19
2020,26,109,"TURNO DICIEMBRE 2020",2020-11-27,2020-12-19,2020-11-27,2020-12-31,42,110,"Primer Llamado  TURNO DICIEMBRE 2020",2020-11-27,2020-12-05
